{'round': 0, 'grad_norm_head': 0.23136863915398367, 'grad_norm_feat': 0.35680639885924625}
{'round': 1, 'grad_norm_head': 0.12113183330976111, 'grad_norm_feat': 0.18690879977409305}
{'round': 2, 'grad_norm_head': 0.11803762237193102, 'grad_norm_feat': 0.17159950300500604}
{'round': 3, 'grad_norm_head': 0.11834185461775804, 'grad_norm_feat': 0.16927245524813417}
{'round': 4, 'grad_norm_head': 0.1024179536257142, 'grad_norm_feat': 0.1501806265699872}
{'round': 5, 'grad_norm_head': 0.0858286060925351, 'grad_norm_feat': 0.13039548895010314}
{'round': 6, 'grad_norm_head': 0.0725315633881999, 'grad_norm_feat': 0.11450067567468335}
{'round': 7, 'grad_norm_head': 0.06242788441632475, 'grad_norm_feat': 0.10208724768905487}
{'round': 8, 'grad_norm_head': 0.05462769877081776, 'grad_norm_feat': 0.09243681111098921}
{'round': 9, 'grad_norm_head': 0.04850043490074916, 'grad_norm_feat': 0.08493159620288993}
{'round': 10, 'grad_norm_head': 0.043524407823000544, 'grad_norm_feat': 0.0787169855553077}
{'round': 11, 'grad_norm_head': 0.03942257252316564, 'grad_norm_feat': 0.07299012949852443}
{'round': 12, 'grad_norm_head': 0.035949282358302935, 'grad_norm_feat': 0.06799500916318163}
{'round': 13, 'grad_norm_head': 0.03297592881020716, 'grad_norm_feat': 0.0638620892860989}
{'round': 14, 'grad_norm_head': 0.030405440366335502, 'grad_norm_feat': 0.060224950061662785}
{'round': 15, 'grad_norm_head': 0.02817567109595171, 'grad_norm_feat': 0.05688843304390272}
{'round': 16, 'grad_norm_head': 0.026225104641017148, 'grad_norm_feat': 0.05412340487985863}
{'round': 17, 'grad_norm_head': 0.02451244376443371, 'grad_norm_feat': 0.051559286960994856}
{'round': 18, 'grad_norm_head': 0.023013124142228118, 'grad_norm_feat': 0.049305397440919656}
{'round': 19, 'grad_norm_head': 0.021683865336210518, 'grad_norm_feat': 0.047213638934242595}
{'round': 20, 'grad_norm_head': 0.02049558573683753, 'grad_norm_feat': 0.045445346274403345}
{'round': 21, 'grad_norm_head': 0.019430927852473957, 'grad_norm_feat': 0.04397959119444602}
{'round': 22, 'grad_norm_head': 0.018480448244245024, 'grad_norm_feat': 0.04247669407156089}
{'round': 23, 'grad_norm_head': 0.017622042774936546, 'grad_norm_feat': 0.04106978898721504}
{'round': 24, 'grad_norm_head': 0.01684086025933915, 'grad_norm_feat': 0.03963449839829167}
{'round': 25, 'grad_norm_head': 0.01612556992128749, 'grad_norm_feat': 0.03843928107084419}
{'round': 26, 'grad_norm_head': 0.015467903336006825, 'grad_norm_feat': 0.03742842842704223}
{'round': 27, 'grad_norm_head': 0.014857434053840076, 'grad_norm_feat': 0.036266140231130506}
{'round': 28, 'grad_norm_head': 0.0142931169489816, 'grad_norm_feat': 0.03524051090525767}
{'round': 29, 'grad_norm_head': 0.013768679017557343, 'grad_norm_feat': 0.0341365985580039}
{'round': 30, 'grad_norm_head': 0.013270682698224259, 'grad_norm_feat': 0.03334829072308451}
{'round': 31, 'grad_norm_head': 0.012807704807167794, 'grad_norm_feat': 0.03247045108841238}
{'round': 32, 'grad_norm_head': 0.01236712285086937, 'grad_norm_feat': 0.03162639241780252}
{'round': 33, 'grad_norm_head': 0.011949326632698333, 'grad_norm_feat': 0.03070178103353258}
{'round': 34, 'grad_norm_head': 0.011555823773293025, 'grad_norm_feat': 0.029853914455560647}
{'round': 35, 'grad_norm_head': 0.011177141359173545, 'grad_norm_feat': 0.02906536572435343}
{'round': 36, 'grad_norm_head': 0.010819649658220524, 'grad_norm_feat': 0.028371547359552173}
{'round': 37, 'grad_norm_head': 0.010477505878611546, 'grad_norm_feat': 0.027626326436845542}
{'round': 38, 'grad_norm_head': 0.01015498080029831, 'grad_norm_feat': 0.02690487436311034}
{'round': 39, 'grad_norm_head': 0.009847920737632177, 'grad_norm_feat': 0.02630116604843406}
{'round': 40, 'grad_norm_head': 0.009553124194720698, 'grad_norm_feat': 0.025644183438410614}
{'round': 41, 'grad_norm_head': 0.009268661558021345, 'grad_norm_feat': 0.024953991306979322}
{'round': 42, 'grad_norm_head': 0.008997306373535754, 'grad_norm_feat': 0.02430208421619604}
{'round': 43, 'grad_norm_head': 0.00874395276632119, 'grad_norm_feat': 0.023694359836405}
{'round': 44, 'grad_norm_head': 0.00850109961500782, 'grad_norm_feat': 0.02309432102753019}
{'round': 45, 'grad_norm_head': 0.00826804916253169, 'grad_norm_feat': 0.0225416676102261}
{'round': 46, 'grad_norm_head': 0.008044055119080662, 'grad_norm_feat': 0.021953289855109238}
