{'round': 0, 'grad_norm_head': 2.1958491315441844, 'grad_norm_feat': 2.2495895245763546}
{'round': 1, 'grad_norm_head': 2.7407620529439924, 'grad_norm_feat': 3.456670063767797}
{'round': 2, 'grad_norm_head': 2.595482914134747, 'grad_norm_feat': 4.002987677272082}
{'round': 3, 'grad_norm_head': 2.410115048986256, 'grad_norm_feat': 4.309624087733789}
{'round': 4, 'grad_norm_head': 2.3082091038001944, 'grad_norm_feat': 4.51725606508021}
{'round': 5, 'grad_norm_head': 2.1907848870495665, 'grad_norm_feat': 4.55437469118167}
{'round': 6, 'grad_norm_head': 2.048339238053473, 'grad_norm_feat': 4.435456620071126}
{'round': 7, 'grad_norm_head': 1.892529746925542, 'grad_norm_feat': 4.242668121284859}
{'round': 8, 'grad_norm_head': 1.7194811644657986, 'grad_norm_feat': 3.9303711535285353}
{'round': 9, 'grad_norm_head': 1.5493520472456297, 'grad_norm_feat': 3.5566243850444197}
{'round': 10, 'grad_norm_head': 1.4055883729290775, 'grad_norm_feat': 3.283630988535027}
{'round': 11, 'grad_norm_head': 1.2433846086750788, 'grad_norm_feat': 2.9420073685097377}
{'round': 12, 'grad_norm_head': 1.1227051184768382, 'grad_norm_feat': 2.679536245383152}
{'round': 13, 'grad_norm_head': 0.9878917573012231, 'grad_norm_feat': 2.3810260280587308}
{'round': 14, 'grad_norm_head': 0.8851016737666966, 'grad_norm_feat': 2.1607739487721247}
{'round': 15, 'grad_norm_head': 0.8074416366893307, 'grad_norm_feat': 1.9909852926390286}
{'round': 16, 'grad_norm_head': 0.7210725223892561, 'grad_norm_feat': 1.8008352608783011}
{'round': 17, 'grad_norm_head': 0.6541770179381967, 'grad_norm_feat': 1.6560501356956048}
{'round': 18, 'grad_norm_head': 0.5829735520764435, 'grad_norm_feat': 1.4913167477910647}
{'round': 19, 'grad_norm_head': 0.5284307574650641, 'grad_norm_feat': 1.364944081726441}
{'round': 20, 'grad_norm_head': 0.48066149026358185, 'grad_norm_feat': 1.252257733440074}
{'round': 21, 'grad_norm_head': 0.43297429695566975, 'grad_norm_feat': 1.1415622189726888}
{'round': 22, 'grad_norm_head': 0.39416193170997826, 'grad_norm_feat': 1.0551302696631475}
{'round': 23, 'grad_norm_head': 0.3611843468740693, 'grad_norm_feat': 0.9794742414467063}
{'round': 24, 'grad_norm_head': 0.3331823109603273, 'grad_norm_feat': 0.9066931099359286}
{'round': 25, 'grad_norm_head': 0.3089575101660698, 'grad_norm_feat': 0.8460979690290542}
{'round': 26, 'grad_norm_head': 0.2887408069661735, 'grad_norm_feat': 0.7986612031074802}
{'round': 27, 'grad_norm_head': 0.2668954901938484, 'grad_norm_feat': 0.7429827853158611}
{'round': 28, 'grad_norm_head': 0.24986817391543817, 'grad_norm_feat': 0.701902769699326}
{'round': 29, 'grad_norm_head': 0.2308718379087823, 'grad_norm_feat': 0.6475858597870923}
{'round': 30, 'grad_norm_head': 0.21302486950136226, 'grad_norm_feat': 0.6007142944152791}
{'round': 31, 'grad_norm_head': 0.19943568442878312, 'grad_norm_feat': 0.5589108000497107}
{'round': 32, 'grad_norm_head': 0.1860702457779874, 'grad_norm_feat': 0.5264871322880279}
{'round': 33, 'grad_norm_head': 0.17593739790358284, 'grad_norm_feat': 0.49575447130448413}
{'round': 34, 'grad_norm_head': 0.16573134959587693, 'grad_norm_feat': 0.4689947032089778}
{'round': 35, 'grad_norm_head': 0.15689205402780995, 'grad_norm_feat': 0.4456155144168271}
{'round': 36, 'grad_norm_head': 0.14785711522872516, 'grad_norm_feat': 0.4215915881850548}
{'round': 37, 'grad_norm_head': 0.13879873258826178, 'grad_norm_feat': 0.3969652248500416}
{'round': 38, 'grad_norm_head': 0.1335035647507492, 'grad_norm_feat': 0.38321580632552127}
{'round': 39, 'grad_norm_head': 0.12548697457983798, 'grad_norm_feat': 0.3620625238595322}
{'round': 40, 'grad_norm_head': 0.12023552097041115, 'grad_norm_feat': 0.34754008022833416}
{'round': 41, 'grad_norm_head': 0.11384616672861915, 'grad_norm_feat': 0.3326235119449245}
{'round': 42, 'grad_norm_head': 0.1098447836173526, 'grad_norm_feat': 0.32078057045840086}
{'round': 43, 'grad_norm_head': 0.10643826919906399, 'grad_norm_feat': 0.310977390097058}
{'round': 44, 'grad_norm_head': 0.1026767655643731, 'grad_norm_feat': 0.3006191790920676}
{'round': 45, 'grad_norm_head': 0.10018229604958687, 'grad_norm_feat': 0.293722337067817}
{'round': 46, 'grad_norm_head': 0.09614475235290901, 'grad_norm_feat': 0.2818247353195864}
{'round': 47, 'grad_norm_head': 0.09080234983042727, 'grad_norm_feat': 0.2658582727599962}
{'round': 48, 'grad_norm_head': 0.08769418139319037, 'grad_norm_feat': 0.25708088966151155}
{'round': 49, 'grad_norm_head': 0.08531232723282167, 'grad_norm_feat': 0.25058245855880673}
{'round': 50, 'grad_norm_head': 0.08229558861129653, 'grad_norm_feat': 0.24145023339629493}
{'round': 51, 'grad_norm_head': 0.08025009442578056, 'grad_norm_feat': 0.23549270208352707}
{'round': 52, 'grad_norm_head': 0.07794194147788676, 'grad_norm_feat': 0.22915681099822124}
