{'round': 0, 'grad_norm_head': 2.6494125530300723, 'grad_norm_feat': 3.816215322729338}
{'round': 1, 'grad_norm_head': 3.108692001503939, 'grad_norm_feat': 4.780879327350978}
{'round': 2, 'grad_norm_head': 2.3638132824735525, 'grad_norm_feat': 3.534185208307158}
{'round': 3, 'grad_norm_head': 1.9006961248208314, 'grad_norm_feat': 2.706403180624323}
{'round': 4, 'grad_norm_head': 1.5286398524702456, 'grad_norm_feat': 2.1248333271705233}
{'round': 5, 'grad_norm_head': 1.2257034466039354, 'grad_norm_feat': 1.6902090419970623}
{'round': 6, 'grad_norm_head': 0.9259040971588749, 'grad_norm_feat': 1.2807264858916343}
{'round': 7, 'grad_norm_head': 0.7504106391799005, 'grad_norm_feat': 1.0493893499292388}
{'round': 8, 'grad_norm_head': 0.6117720447499921, 'grad_norm_feat': 0.8605190522268857}
{'round': 9, 'grad_norm_head': 0.5100169498670606, 'grad_norm_feat': 0.7162113736804553}
{'round': 10, 'grad_norm_head': 0.4490273155131678, 'grad_norm_feat': 0.6380185742869531}
{'round': 11, 'grad_norm_head': 0.39293069063692115, 'grad_norm_feat': 0.5633510072840926}
{'round': 12, 'grad_norm_head': 0.3608379945592862, 'grad_norm_feat': 0.521131448298927}
{'round': 13, 'grad_norm_head': 0.33253891514315104, 'grad_norm_feat': 0.48025738709009624}
{'round': 14, 'grad_norm_head': 0.30758439019323597, 'grad_norm_feat': 0.4432375797236793}
{'round': 15, 'grad_norm_head': 0.2961525461825978, 'grad_norm_feat': 0.42606677705473794}
{'round': 16, 'grad_norm_head': 0.2822193963194154, 'grad_norm_feat': 0.4054790219960638}
{'round': 17, 'grad_norm_head': 0.2706083638887925, 'grad_norm_feat': 0.3883759108758803}
{'round': 18, 'grad_norm_head': 0.25960046126853614, 'grad_norm_feat': 0.3732721631488499}
{'round': 19, 'grad_norm_head': 0.24928596572365389, 'grad_norm_feat': 0.3592609098461032}
{'round': 20, 'grad_norm_head': 0.24246729155436506, 'grad_norm_feat': 0.34848486221090696}
{'round': 21, 'grad_norm_head': 0.2346909089534101, 'grad_norm_feat': 0.33677830006832205}
{'round': 22, 'grad_norm_head': 0.22576696528492335, 'grad_norm_feat': 0.32583177656920503}
{'round': 23, 'grad_norm_head': 0.2166175161274638, 'grad_norm_feat': 0.31129996583751984}
{'round': 24, 'grad_norm_head': 0.20873835274711805, 'grad_norm_feat': 0.30020333070925026}
{'round': 25, 'grad_norm_head': 0.2030377491653682, 'grad_norm_feat': 0.29287158348699815}
{'round': 26, 'grad_norm_head': 0.1974021003396838, 'grad_norm_feat': 0.28525772889183626}
{'round': 27, 'grad_norm_head': 0.18845274527784206, 'grad_norm_feat': 0.2725157439764918}
{'round': 28, 'grad_norm_head': 0.18064122833467403, 'grad_norm_feat': 0.260600026536808}
{'round': 29, 'grad_norm_head': 0.17129725750989117, 'grad_norm_feat': 0.24755145787829386}
{'round': 30, 'grad_norm_head': 0.16402000117429255, 'grad_norm_feat': 0.23835957342516156}
{'round': 31, 'grad_norm_head': 0.1568764284165837, 'grad_norm_feat': 0.22832676830279375}
{'round': 32, 'grad_norm_head': 0.14852616206959193, 'grad_norm_feat': 0.21632341865322885}
{'round': 33, 'grad_norm_head': 0.14241838724299366, 'grad_norm_feat': 0.20789427971038377}
{'round': 34, 'grad_norm_head': 0.13530719464815236, 'grad_norm_feat': 0.19773527108669758}
{'round': 35, 'grad_norm_head': 0.1286136489660899, 'grad_norm_feat': 0.18840477770370553}
{'round': 36, 'grad_norm_head': 0.12220256752552201, 'grad_norm_feat': 0.1794910937620023}
{'round': 37, 'grad_norm_head': 0.11609141739376419, 'grad_norm_feat': 0.17072973729267704}
{'round': 38, 'grad_norm_head': 0.10943958845455407, 'grad_norm_feat': 0.16104737394675675}
{'round': 39, 'grad_norm_head': 0.1032621882713096, 'grad_norm_feat': 0.15210905062129554}
{'round': 40, 'grad_norm_head': 0.09810134333099196, 'grad_norm_feat': 0.14446738663631054}
{'round': 41, 'grad_norm_head': 0.09288261645038942, 'grad_norm_feat': 0.13661705239466004}
{'round': 42, 'grad_norm_head': 0.08782713301269943, 'grad_norm_feat': 0.1293933639850434}
{'round': 43, 'grad_norm_head': 0.0834727251023811, 'grad_norm_feat': 0.12295398851062164}
{'round': 44, 'grad_norm_head': 0.07923017919830508, 'grad_norm_feat': 0.11671519258311164}
{'round': 45, 'grad_norm_head': 0.07545848670046591, 'grad_norm_feat': 0.11117243138344848}
{'round': 46, 'grad_norm_head': 0.07197079913623139, 'grad_norm_feat': 0.10593574588209248}
{'round': 47, 'grad_norm_head': 0.06878673405231897, 'grad_norm_feat': 0.1011600330202984}
{'round': 48, 'grad_norm_head': 0.06567390555110808, 'grad_norm_feat': 0.09662222825498265}
{'round': 49, 'grad_norm_head': 0.06288784054970517, 'grad_norm_feat': 0.09254220684816784}
